EoS,rhoc,M,R,Lambda
./dat/css_ACSiacr.csv/branch-css_ACSiacr-0.csv,2.24e+14,0.16370838004194,20.0,22647406.7236
./dat/css_ACSibcr.csv/branch-css_ACSibcr-0.csv,2.24e+14,0.16370838004194,20.0,22647406.7236
./dat/css_ACSiccr.csv/branch-css_ACSiccr-0.csv,2.24e+14,0.16370838004194,20.0,22647406.7236
./dat/css_ACSidcr.csv/branch-css_ACSidcr-0.csv,2.24e+14,0.16370838004194,20.0,22647406.7236
./dat/css_ACSidcr.csv/branch-css_ACSidcr-1.csv,1.52274747475e+15,2.005999839605044,12.5800371,39.9385751028
./dat/css_ACSiiacr.csv/branch-css_ACSiiacr-0.csv,2.24e+14,0.16370838004194,20.0,22647406.7236
./dat/css_ACSiiacr.csv/branch-css_ACSiiacr-1.csv,1.20597979798e+15,1.506447706599528,12.9600352,348.735463754
./dat/css_ACSiibcr.csv/branch-css_ACSiibcr-0.csv,2.24e+14,0.16370838004194,20.0,22647406.7236
./dat/css_ACSiibcr.csv/branch-css_ACSiibcr-1.csv,1.36436363636e+15,1.4601307384864048,12.6400368,333.33249175
./dat/pwp_ACB4cr.csv/branch-pwp_ACB4cr-0.csv,2.24e+14,0.10167758266212776,20.0,189241555.186
./dat/pwp_ACB4cr.csv/branch-pwp_ACB4cr-1.csv,1.30101010101e+15,1.8118079243355913,12.8400358,88.2024860881
./dat/pwp_ACB5cr.csv/branch-pwp_ACB5cr-0.csv,2.24e+14,0.08466551737115469,20.0,907856208.094
./dat/pwp_ACB5cr.csv/branch-pwp_ACB5cr-1.csv,1.26933333333e+15,1.2959854735858207,12.200039,577.420498244
./dat/pwp_ACB6cr.csv/branch-pwp_ACB6cr-0.csv,2.24e+14,0.24065275675854772,16.3400183,3442199.18031
./dat/pwp_ACB7cr.csv/branch-pwp_ACB7cr-0.csv,2.24e+14,0.1023636785321469,20.0,183947102.162
./dat/pwp_ACB7cr.csv/branch-pwp_ACB7cr-1.csv,1.23765656566e+15,1.3756900253027649,12.5600372,458.659481522
./dat/pwp_ALF2cr.csv/branch-pwp_ALF2cr-0.csv,2.24e+14,0.09140060217774675,20.0,417950625.586
./dat/pwp_ENGcr.csv/branch-pwp_ENGcr-0.csv,2.24e+14,0.0937604420168306,20.0,350387380.379
./dat/pwp_H4cr.csv/branch-pwp_H4cr-0.csv,2.24e+14,0.3044070584805392,16.5800171,1734558.32368
./dat/pwp_MPA1cr.csv/branch-pwp_MPA1cr-0.csv,2.24e+14,0.09179977788559969,20.0,412445886.295
./dat/pwp_MS1bcr.csv/branch-pwp_MS1bcr-0.csv,2.24e+14,0.28339585367996434,16.200019,2033030.42573
./dat/pwp_MS1cr.csv/branch-pwp_MS1cr-0.csv,2.24e+14,0.37094262873007516,16.00002,793584.989054
./dat/pwp_SLycr.csv/branch-pwp_SLycr-0.csv,2.24e+14,0.121206070108801,20.0,74975010.4822
./dat/spec_ALF2cr.csv/branch-spec_ALF2cr-0.csv,2.24e+14,0.12081265556243762,20.0,83103107.8877
./dat/spec_ENGcr.csv/branch-spec_ENGcr-0.csv,2.24e+14,0.09858244451464138,20.0,240612791.531
./dat/spec_H4cr.csv/branch-spec_H4cr-0.csv,2.24e+14,0.2898521178497586,17.5000125,2352903.06645
./dat/spec_MPA1cr.csv/branch-spec_MPA1cr-0.csv,2.24e+14,0.11301206849745465,20.0,116693339.0
./dat/spec_MS1bcr.csv/branch-spec_MS1bcr-0.csv,2.24e+14,0.28275547540503526,16.200019,2084590.00442
./dat/spec_MS1cr.csv/branch-spec_MS1cr-0.csv,2.24e+14,0.47236178718124266,17.9200104,452472.093265
./dat/spec_SLycr.csv/branch-spec_SLycr-0.csv,2.24e+14,0.12081265556243762,20.0,83103107.8877
./dat/sqm_causal.csv/branch-sqm_causal-0.csv,1.32630046104e+15,0.0,0.0,nan
